GAL105TBX,CREATE_TIMESTAMP,TIMESTAMP,10,0,<null>,Y
GAL105TBX,ERROR_FREQ_1,SMALLINT,2,0,<null>,Y
GAL105TBX,ERROR_FREQ_2,SMALLINT,2,0,<null>,Y
GAL105TBX,LOGIN_STATUS,CHARACTER,1,0,<null>,Y
GAL105TBX,PASSWD,CHARACTER,8,0,<null>,Y
GAL105TBX,PASSWD_1,CHARACTER,8,0,<null>,Y
GAL105TBX,PASSWD_2,CHARACTER,8,0,<null>,Y
GAL105TBX,PASSWD_3,CHARACTER,8,0,<null>,Y
GAL105TBX,PASSWD_4,CHARACTER,8,0,<null>,Y
GAL105TBX,PASSWD_5,CHARACTER,8,0,<null>,Y
GAL105TBX,PASSWD_UPD_DT,CHARACTER,8,0,<null>,Y
GAL105TBX,ROW_DISUSE_TSTMP,TIMESTAMP,10,0,<null>,Y
GAL105TBX,ROW_HISTRC_CNTER,INTEGER,4,0,<null>,Y
GAL105TBX,ROW_INSERT_TSTMP,TIMESTAMP,10,0,<null>,Y
GAL105TBX,ROW_UPDATE_TSTMP,TIMESTAMP,10,0,<null>,Y
GAL105TBX,ROW_UPDATE_USER,CHARACTER,11,0,<null>,Y
GAL105TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,0,<null>,Y
GAL105TBX,USER_ID,CHARACTER,11,0,' ',N
GAL105TBX,USER_NAME,CHARACTER,30,0,<null>,Y
GAL106TBX,CREATE_TIMESTAMP,TIMESTAMP,10,0,<null>,Y
GAL106TBX,MODEL_CODE,CHARACTER,3,0,' ',N
GAL106TBX,MODEL_YEAR_CODE,CHARACTER,1,0,' ',N
GAL106TBX,NUMBER_OF_CONS,INTEGER,4,0,<null>,Y
GAL106TBX,NUMBER_OF_MAINS,INTEGER,4,0,<null>,Y
GAL106TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,0,<null>,Y
GAL107TBX,BEARING_COLOR,CHARACTER,10,0,<null>,Y
GAL107TBX,BEARING_SERIAL_NO,CHARACTER,30,0,' ',N
GAL107TBX,BEARING_TYPE,CHARACTER,10,0,<null>,Y
GAL107TBX,CREATE_TIMESTAMP,TIMESTAMP,10,0,<null>,Y
GAL107TBX,UPDATE_TIMESTAMP,TIMESTAMP,10,0,<null>,Y
GAL108TBX,ACTUAL_TIMESTAMP,TIMESTAMP,10,0,CURRENT TIMESTAMP,N
GAL108TBX,CONROD_CONS_MEASUREMENTS,CHARACTER,6,0,<null>,Y
GAL108TBX,CONROD_CRANK_MEASUREMENTS,CHARACTER,6,0,<null>,Y
GAL108TBX,CONROD_LOWER_BEARING01,CHARACTER,30,0,<null>,Y
GAL108TBX,CONROD_LOWER_BEARING02,CHARACTER,30,0,<null>,Y
GAL108TBX,CONROD_LOWER_BEARING03,CHARACTER,30,0,<null>,Y
GAL108TBX,CONROD_LOWER_BEARING04,CHARACTER,30,0,<null>,Y
